"userid","country","groups","deviceid","device","sellerid","itemid","date","views","clicks","revenue"
7470,"GB","control",15417,"Other",238,1758,2017-05-14,6,0,0
3099,"US","treatment",8007,"Web",279,1842,2017-05-13,3,0,0
2999,"US","treatment",6521,"Other",200,1070,2017-05-09,5,0,0
2006,"US","treatment",8835,"Other",273,2519,2017-05-11,6,2,0
4465,"CN","control",18264,"Other",184,2809,2017-05-19,4,0,0
3191,"GB","control",5855,"Web",435,1617,2017-05-10,3,0,0
3550,"GB","control",13246,"Android",492,2861,2017-05-14,6,4,0
2915,"CA","treatment",16266,"Other",469,1821,2017-05-11,7,1,0
3347,"US","treatment",13325,"Android",484,1159,2017-05-21,2,0,0
6449,"US","control",16189,"Android",296,2209,2017-05-14,4,0,0
8050,"US","control",14607,"Android",312,1690,2017-05-08,3,0,0
3424,"US","treatment",6486,"Web",119,1862,2017-05-20,8,2,0
7375,"CA","control",7621,"Web",385,1479,2017-05-17,9,2,0
5457,"CA","treatment",9743,"Ios",202,2663,2017-05-12,8,0,0
4107,"CA","treatment",6747,"Ios",327,2865,2017-05-08,5,0,0
2980,"CN","treatment",5442,"Web",478,2812,2017-05-21,3,1,0
5864,"US","control",7894,"Other",112,2830,2017-05-11,10,2,0
1949,"GB","control",10482,"Ios",490,2164,2017-05-20,12,5,0
2161,"CN","control",12278,"Android",466,1550,2017-05-17,7,0,0
1722,"US","control",17477,"Web",163,1060,2017-05-09,5,2,0
5131,"CA","treatment",17375,"Android",389,1363,2017-05-17,8,1,0
1508,"US","treatment",18859,"Other",347,1179,2017-05-20,6,1,0
5105,"CN","control",17665,"Web",219,1470,2017-05-21,2,0,0
1314,"CA","treatment",16011,"Web",290,1634,2017-05-11,10,1,0
8172,"US","treatment",19877,"Other",340,2388,2017-05-17,3,1,0
8968,"US","treatment",14869,"Android",218,1712,2017-05-14,3,1,0
3568,"US","treatment",7804,"Other",490,2443,2017-05-15,2,0,0
5181,"US","treatment",12222,"Other",387,1277,2017-05-21,1,0,0
9735,"GB","control",16437,"Ios",294,2059,2017-05-21,3,1,127.559810205289
4343,"CA","treatment",10848,"Android",489,1420,2017-05-14,5,1,0
3199,"GB","control",19044,"Web",470,1387,2017-05-11,11,2,0
3666,"GB","treatment",8245,"Ios",216,2502,2017-05-20,7,1,0
5838,"US","treatment",10623,"Web",129,2528,2017-05-12,7,1,0
2966,"CA","treatment",12457,"Ios",441,2995,2017-05-17,9,1,0
7458,"US","treatment",16007,"Ios",323,1425,2017-05-17,6,1,0
8075,"US","control",18941,"Web",117,2217,2017-05-08,6,2,0
1729,"CN","treatment",18300,"Android",101,1088,2017-05-11,3,1,90.9777064714826
4809,"CN","treatment",11881,"Other",346,1601,2017-05-20,6,0,0
7554,"CN","control",7508,"Android",458,2523,2017-05-19,2,1,74.8499394980317
8707,"US","control",6121,"Web",165,2547,2017-05-08,11,1,0
7560,"CA","treatment",17099,"Ios",277,1828,2017-05-08,6,1,0
8252,"CN","control",8033,"Android",117,1858,2017-05-14,7,1,0
3549,"CN","control",6378,"Ios",399,1378,2017-05-08,8,1,0
5342,"US","treatment",17541,"Other",351,2331,2017-05-14,8,2,0
8654,"GB","treatment",12225,"Android",295,2429,2017-05-15,6,1,0
5887,"CA","control",14690,"Web",102,1224,2017-05-12,5,2,71.7808175373156
1079,"US","control",15864,"Android",160,2322,2017-05-18,7,2,0
3311,"GB","control",12176,"Web",291,1151,2017-05-09,4,2,0
4172,"GB","treatment",7443,"Android",409,2272,2017-05-16,3,0,0
5509,"CA","treatment",5837,"Android",174,1860,2017-05-19,4,1,0
4788,"US","treatment",10416,"Web",246,1231,2017-05-11,7,1,0
9140,"CA","treatment",9157,"Web",197,2245,2017-05-16,5,0,0
2955,"GB","treatment",5415,"Web",481,1306,2017-05-14,3,1,0
3771,"CA","control",10479,"Other",246,2692,2017-05-11,4,0,0
1278,"GB","control",10564,"Android",139,1100,2017-05-21,4,0,0
3383,"GB","control",12864,"Ios",283,1848,2017-05-15,9,2,208.68952170749
6961,"GB","treatment",9009,"Android",369,1615,2017-05-08,4,1,0
8704,"GB","control",7973,"Ios",321,1087,2017-05-20,5,1,0
9144,"CN","treatment",13136,"Web",429,1557,2017-05-13,6,0,0
3401,"GB","treatment",13784,"Other",230,2355,2017-05-17,4,0,0
6436,"GB","control",13732,"Android",109,1343,2017-05-21,3,0,0
9809,"US","treatment",10918,"Web",213,1827,2017-05-17,5,0,0
2090,"US","treatment",14666,"Other",351,2522,2017-05-20,10,0,0
7343,"CA","control",10074,"Ios",407,1370,2017-05-15,4,0,0
5144,"GB","treatment",6176,"Android",187,1943,2017-05-21,3,2,0
6478,"US","control",14235,"Web",396,1087,2017-05-16,6,1,0
4966,"US","treatment",18950,"Web",397,2344,2017-05-18,8,2,0
6065,"US","treatment",19906,"Other",218,2306,2017-05-17,7,1,0
4623,"GB","control",17673,"Android",340,1250,2017-05-20,5,1,0
6515,"US","control",7108,"Web",442,2878,2017-05-10,9,3,0
1144,"CA","treatment",5201,"Web",369,1978,2017-05-21,6,2,0
7103,"CN","control",10468,"Android",159,1218,2017-05-12,12,1,0
6603,"CA","control",19121,"Web",106,1621,2017-05-11,5,2,0
7489,"US","treatment",16018,"Web",226,2901,2017-05-14,13,2,0
5375,"US","treatment",17484,"Android",212,1388,2017-05-15,9,2,0
2504,"GB","treatment",15620,"Ios",487,1680,2017-05-09,4,1,111.442793101888
9017,"CN","control",14700,"Android",403,1890,2017-05-20,9,1,91.0881919812545
7747,"US","control",10731,"Android",390,2263,2017-05-10,2,0,0
9059,"US","control",9450,"Ios",173,1557,2017-05-16,4,2,0
9712,"GB","control",18959,"Android",207,2068,2017-05-17,5,1,0
2687,"CN","treatment",19831,"Ios",435,1936,2017-05-14,8,0,0
6892,"GB","treatment",15252,"Other",148,1961,2017-05-20,4,2,0
8503,"CA","treatment",10296,"Ios",221,2799,2017-05-10,3,1,0
5370,"CN","treatment",8555,"Android",464,1787,2017-05-12,7,2,0
4342,"US","control",10212,"Other",310,1900,2017-05-19,4,1,0
6183,"US","control",10325,"Android",196,2981,2017-05-16,3,0,0
6152,"CA","control",10954,"Other",400,2429,2017-05-18,4,2,0
9153,"GB","treatment",16522,"Ios",357,2106,2017-05-21,3,0,0
2591,"CA","treatment",16253,"Web",212,1321,2017-05-12,7,1,0
9279,"CN","treatment",9878,"Android",117,2688,2017-05-13,2,1,0
NA,"CA","control",5270,"Android",248,2109,2017-05-20,6,1,0
7525,"US","control",16156,"Other",357,2453,2017-05-19,7,1,0
6568,"US","treatment",7249,"Android",445,2313,2017-05-14,11,4,0
5718,"US","control",13423,"Other",285,1006,2017-05-14,7,1,0
5929,"US","control",5996,"Android",438,1470,2017-05-14,8,4,0
2252,"CA","treatment",17719,"Android",292,1325,2017-05-09,5,1,0
9270,"US","treatment",11381,"Web",145,2653,2017-05-19,7,2,0
2403,"US","control",14245,"Android",176,2354,2017-05-21,8,1,0
2114,"GB","control",6261,"Web",272,2909,2017-05-17,7,2,0
9199,"GB","treatment",19510,"Android",227,2291,2017-05-12,9,2,0
7330,"CN","treatment",13473,"Other",318,2198,2017-05-20,3,1,0
8581,"US","treatment",19031,"Ios",417,1432,2017-05-11,6,1,124.617689924534
1413,"US","control",5984,"Web",295,2205,2017-05-15,6,1,0
8013,"GB","treatment",10777,"Android",432,1957,2017-05-09,7,0,0
7675,"CA","control",17605,"Android",222,2190,2017-05-10,4,0,0
1741,"US","control",7743,"Other",467,2555,2017-05-21,3,0,0
4451,"US","treatment",14741,"Android",339,1095,2017-05-09,8,2,0
4848,"US","control",8984,"Android",301,1891,2017-05-11,8,1,0
5368,"US","control",16836,"Android",271,2531,2017-05-20,3,0,0
NA,"GB","control",7901,"Android",403,1276,2017-05-14,9,1,0
8121,"CN","treatment",6983,"Android",317,2539,2017-05-14,2,0,0
9686,"CA","control",5384,"Android",441,2679,2017-05-13,3,1,0
6501,"GB","control",6840,"Ios",150,2642,2017-05-12,2,0,0
NA,"US","control",19364,"Web",303,2204,2017-05-19,12,2,0
6781,"CN","treatment",10507,"Android",428,2607,2017-05-08,7,2,0
8430,"GB","treatment",6454,"Android",181,1617,2017-05-12,1,0,0
7188,"GB","control",12046,"Other",387,1281,2017-05-19,6,1,81.7492186062844
1635,"CA","treatment",13664,"Other",481,1924,2017-05-13,4,0,0
3665,"CA","treatment",5219,"Other",111,2772,2017-05-17,12,3,0
6841,"US","control",18286,"Ios",118,2773,2017-05-18,2,1,0
3968,"US","treatment",16547,"Other",222,2375,2017-05-15,7,2,115.097420993184
9321,"GB","treatment",18719,"Web",142,2032,2017-05-12,8,2,79.1227260356518
4137,"CA","control",15863,"Other",279,1479,2017-05-18,9,3,91.7252115788598
8176,"GB","treatment",18245,"Android",377,2500,2017-05-13,5,2,0
9718,"US","treatment",9383,"Other",451,2708,2017-05-15,9,0,0
4384,"CN","treatment",7078,"Web",394,2184,2017-05-15,5,1,0
5636,"GB","control",18876,"Ios",282,1767,2017-05-09,3,0,0
6542,"CN","control",16493,"Other",267,2311,2017-05-10,4,1,0
4645,"CA","treatment",10729,"Android",343,1395,2017-05-19,4,1,0
3064,"CN","treatment",16929,"Ios",302,1822,2017-05-12,7,3,0
4580,"US","control",10772,"Ios",302,1277,2017-05-19,5,0,0
7361,"CA","treatment",7474,"Web",316,2100,2017-05-14,4,1,0
7727,"US","control",11163,"Android",198,1151,2017-05-10,8,2,0
6863,"GB","control",9917,"Web",391,1384,2017-05-21,4,0,0
5149,"GB","control",11874,"Web",315,1183,2017-05-15,7,2,0
6351,"US","treatment",18870,"Other",440,2975,2017-05-10,4,1,0
7534,"CN","treatment",10419,"Android",193,1972,2017-05-08,11,3,82.8603246959004
2896,"CN","control",6941,"Web",200,2933,2017-05-16,6,1,0
4697,"GB","treatment",8968,"Android",451,1038,2017-05-13,6,2,0
4989,"CN","treatment",12599,"Android",317,1481,2017-05-15,8,4,0
3978,"GB","control",8867,"Ios",358,2056,2017-05-21,4,1,0
8018,"US","treatment",5432,"Ios",181,1243,2017-05-09,8,2,130.767163942713
4917,"US","treatment",12314,"Other",251,1827,2017-05-21,3,0,0
3703,"CA","control",9539,"Android",312,2406,2017-05-16,8,1,0
1905,"US","control",18683,"Android",331,2076,2017-05-13,6,0,0
2387,"CN","control",16764,"Web",392,2534,2017-05-20,6,2,0
3291,"CN","control",6918,"Other",471,1519,2017-05-19,3,1,0
4394,"CN","control",11358,"Web",286,1509,2017-05-21,7,1,0
3723,"CA","treatment",10534,"Web",241,1555,2017-05-08,6,1,0
3108,"CN","control",7562,"Other",155,2426,2017-05-16,1,0,0
7184,"CA","control",9277,"Ios",431,1208,2017-05-18,4,3,0
2762,"GB","control",8460,"Web",288,2402,2017-05-16,2,0,0
4962,"CA","control",9862,"Ios",349,2016,2017-05-17,3,0,0
3155,"CA","treatment",11441,"Ios",236,2438,2017-05-09,9,1,0
2022,"US","control",10819,"Android",187,2637,2017-05-18,4,0,0
4146,"US","treatment",12640,"Android",232,2898,2017-05-17,7,1,48.2097214159174
6635,"CN","control",15735,"Web",329,2730,2017-05-16,6,0,0
5397,"US","control",12464,"Other",470,2790,2017-05-18,4,0,0
1413,"US","control",5984,"Web",295,2205,2017-05-20,6,0,0
6472,"CA","treatment",7989,"Web",366,1784,2017-05-10,10,3,0
3180,"CN","treatment",12465,"Ios",209,2643,2017-05-11,10,2,0
7177,"GB","treatment",17310,"Web",478,1289,2017-05-13,9,0,0
6679,"US","control",15837,"Web",208,1126,2017-05-10,2,1,0
9815,"GB","control",14148,"Ios",500,1416,2017-05-21,1,0,0
2291,"US","control",15262,"Ios",447,2462,2017-05-09,5,2,0
6140,"CN","control",15604,"Web",340,2074,2017-05-09,2,0,0
2602,"US","treatment",13836,"Web",358,2577,2017-05-16,2,1,0
4248,"CA","treatment",12044,"Web",263,1724,2017-05-15,7,2,0
3741,"US","control",17356,"Ios",178,2687,2017-05-19,8,2,85.3105741066655
4032,"US","treatment",10472,"Android",271,1537,2017-05-15,4,0,0
9810,"US","control",6096,"Web",211,2694,2017-05-20,4,0,0
1308,"GB","treatment",16792,"Android",436,2772,2017-05-20,1,0,0
2512,"US","control",19187,"Web",141,1190,2017-05-16,6,3,0
8515,"CA","treatment",7570,"Other",395,1975,2017-05-12,4,0,0
6524,"GB","control",12341,"Ios",499,2461,2017-05-20,2,0,0
4889,"CN","control",15444,"Ios",323,2571,2017-05-11,8,3,0
6963,"GB","treatment",14652,"Ios",116,2514,2017-05-15,13,4,0
6993,"US","control",15955,"Web",399,1812,2017-05-09,2,0,0
2716,"CA","treatment",5002,"Other",220,1951,2017-05-09,3,1,0
2214,"CN","treatment",10062,"Web",454,1681,2017-05-16,1,1,0
8494,"CN","control",8260,"Android",484,1801,2017-05-20,3,1,0
6616,"CA","control",16565,"Other",475,2666,2017-05-11,6,1,0
6336,"CN","treatment",16483,"Android",484,1072,2017-05-18,5,2,82.7817816509172
9415,"CA","treatment",12554,"Android",309,1120,2017-05-12,5,0,0
6767,"US","treatment",16449,"Android",436,2662,2017-05-08,3,1,0
1963,"US","control",12456,"Web",460,1215,2017-05-17,9,1,0
2378,"US","control",9711,"Android",375,2701,2017-05-08,10,2,0
8059,"CA","treatment",14319,"Web",375,1444,2017-05-18,7,2,0
2415,"US","treatment",12766,"Web",250,1512,2017-05-18,8,4,92.919954976146
3261,"CN","control",19410,"Other",318,1365,2017-05-19,6,1,0
3866,"CN","treatment",18778,"Android",332,1458,2017-05-18,7,0,0
6415,"CN","treatment",17679,"Ios",234,1210,2017-05-21,7,1,0
3282,"CA","treatment",12717,"Android",177,2781,2017-05-19,8,4,129.15031793442
1285,"GB","control",9659,"Other",464,1932,2017-05-08,6,3,0
8022,"CA","treatment",8376,"Web",275,1721,2017-05-12,6,1,72.0123442262728
6252,"US","treatment",6443,"Ios",278,1964,2017-05-08,4,0,0
2354,"CN","control",14286,"Web",321,1729,2017-05-16,4,0,0
7762,"CA","control",6547,"Ios",329,2568,2017-05-15,12,3,79.0478306849269
9559,"CA","treatment",19783,"Android",430,1461,2017-05-13,12,1,0
2012,"CA","control",12694,"Android",194,2497,2017-05-17,5,1,0
9273,"CN","treatment",7722,"Android",476,1980,2017-05-16,2,0,0
1143,"CA","treatment",19371,"Other",318,1404,2017-05-10,3,0,0
2840,"CA","control",19686,"Android",488,2473,2017-05-18,6,2,98.9528643983731
4535,"CN","treatment",17063,"Other",427,1197,2017-05-12,11,3,0
8011,"US","treatment",19475,"Web",356,1332,2017-05-19,6,2,81.4453337630947
2958,"CN","treatment",6634,"Other",413,1903,2017-05-08,6,1,0
3010,"GB","control",13050,"Web",405,1771,2017-05-12,6,3,0
5762,"CN","treatment",17040,"Android",452,2556,2017-05-19,6,0,0
4716,"CA","control",10348,"Android",150,1374,2017-05-09,4,0,0
NA,"CN","treatment",19687,"Android",442,1408,2017-05-20,9,2,0
8757,"GB","control",5598,"Ios",232,2507,2017-05-21,8,1,0
1794,"GB","treatment",12226,"Android",279,1377,2017-05-21,6,1,0
5336,"US","treatment",11713,"Web",408,2758,2017-05-09,4,2,0
4455,"US","treatment",7131,"Ios",255,1279,2017-05-08,8,1,0
5129,"US","control",19388,"Ios",326,2505,2017-05-12,9,2,0
8909,"CN","control",17836,"Other",276,1425,2017-05-15,7,3,0
6491,"CA","control",15372,"Ios",155,2736,2017-05-11,1,0,0
7479,"US","control",8179,"Android",135,2869,2017-05-11,5,1,0
4002,"GB","treatment",8382,"Ios",210,1627,2017-05-20,5,0,0
1544,"CN","control",15676,"Web",358,1704,2017-05-15,3,0,0
5961,"US","control",7422,"Other",464,1736,2017-05-09,8,0,0
9831,"US","treatment",18246,"Android",347,2458,2017-05-18,5,0,0
2300,"CN","treatment",19983,"Ios",457,1079,2017-05-11,3,1,0
8181,"US","treatment",6739,"Web",174,2336,2017-05-19,6,1,0
2385,"CN","treatment",15724,"Ios",349,2739,2017-05-19,5,1,0
NA,"US","treatment",19087,"Other",275,1332,2017-05-13,4,1,0
4425,"CN","control",6221,"Other",459,1475,2017-05-20,8,2,0
6681,"US","control",9963,"Android",490,1889,2017-05-19,4,0,0
9922,"US","treatment",6897,"Web",297,2603,2017-05-20,2,0,0
2351,"US","treatment",18543,"Web",208,2617,2017-05-15,5,0,0
6197,"GB","control",7707,"Web",284,2457,2017-05-20,4,3,0
5143,"CN","treatment",19933,"Other",311,2422,2017-05-19,5,4,0
6198,"GB","treatment",15208,"Web",176,1359,2017-05-20,3,1,0
3237,"CN","control",8630,"Android",261,1091,2017-05-12,3,1,0
7856,"CA","control",8178,"Ios",345,1976,2017-05-11,12,3,0
1415,"CA","control",12463,"Web",458,1173,2017-05-09,3,0,0
7697,"US","control",7388,"Ios",200,1225,2017-05-14,8,0,0
5709,"CA","treatment",18175,"Web",388,2359,2017-05-08,5,2,0
4664,"CA","treatment",15188,"Other",303,2128,2017-05-16,6,0,0
6671,"CN","control",13300,"Other",458,2829,2017-05-13,5,1,0
7162,"CN","treatment",15758,"Other",394,2847,2017-05-18,4,0,0
9462,"CN","control",17763,"Ios",328,1797,2017-05-09,3,0,0
9600,"US","treatment",19809,"Web",343,2825,2017-05-12,6,2,0
2460,"US","treatment",17400,"Android",211,2863,2017-05-11,6,1,0
7717,"CA","control",18529,"Android",256,1462,2017-05-20,5,2,0
8737,"GB","treatment",19666,"Ios",458,2917,2017-05-10,5,1,0
4738,"CN","treatment",18931,"Web",199,2545,2017-05-20,4,2,0
8276,"US","treatment",12912,"Other",398,1466,2017-05-18,6,2,0
9983,"GB","control",5186,"Other",421,1605,2017-05-17,7,3,104.828614009568
2445,"US","control",6706,"Ios",239,2240,2017-05-13,8,2,0
4816,"CN","control",14210,"Web",193,1445,2017-05-13,10,2,0
7248,"US","control",9428,"Android",315,2556,2017-05-13,9,2,72.3414310811396
3554,"GB","control",8808,"Other",133,2979,2017-05-18,6,1,0
4600,"GB","control",14234,"Web",195,2530,2017-05-12,11,2,0
1303,"US","treatment",5978,"Android",483,2504,2017-05-16,6,1,0
7684,"CN","control",17089,"Other",146,2346,2017-05-08,8,0,0
1481,"US","control",17131,"Web",121,2450,2017-05-10,6,0,0
